"","MascFeel","MascLook","MascOrigin","Pressure","Rom.Lead","HealthWorry","FinWorry","AppWorry","SexWorry","Employ","Education","Income","Children","Marital","Orientation","Race","Age"
"1","m.feel_med","m.app_med","o_society","press_yes","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_style","s.worry_nr","emp_u.nolook","ed_ugrad","inc_low","child_no","m_nev","so_gay","race_hisp","a.35-64"
"2","m.feel_med","m.app_med","o_family","press_yes","r.lead_no","h.worry_both","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_p.ugrad","inc_mid","child_yes","m_wid","so_straight","race_White","a.65+"
"3","m.feel_high","m.app_low","o_both","press_no","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.35-64"
"4","m.feel_high","m.app_high","o_family","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_ft","ed_ugrad","inc_mid","child_no","m_nev","so_straight","race_White","a.35-64"
"5","m.feel_high","m.app_med","o_family","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"6","m.feel_med","m.app_low","o_both","press_no","r.lead_yes","h.worry_nr","f.worry_both","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_low","child_yes","m_nev","so_gay","race_other","a.18-34"
"7","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_ugrad","inc_high","child_no","m_mar","so_straight","race_White","a.65+"
"8","m.feel_high","m.app_no","o_both","press_no","r.lead_no","h.worry_phys","f.worry_both","a.worry_both","s.worry_perf","emp_ft","ed_p.ugrad","inc_high","child_yes","m_mar","so_straight","race_hisp","a.35-64"
"9","m.feel_med","m.app_med","o_both","press_no","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_both","s.worry_perf","emp_ft","ed_pgrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"10","m.feel_high","m.app_med","o_both","press_no","r.lead_yes","h.worry_both","f.worry_both","a.worry_phys","s.worry_both","emp_ft","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"11","m.feel_med","m.app_low","o_family","press_yes","r.lead_yes","h.worry_both","f.worry_both","a.worry_nr","s.worry_nr","emp_u.nolook","ed_p.ugrad","inc_low","child_no","m_mar","so_straight","race_White","a.35-64"
"12","m.feel_high","m.app_med","o_family","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.nolook","ed_ugrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"13","m.feel_high","m.app_high","o_society","press_yes","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_nr","s.worry_nr","emp_ft","ed_p.ugrad","inc_low","child_yes","m_mar","so_straight","race_black","a.18-34"
"14","m.feel_no","m.app_no","o_both","press_yes","r.lead_no","h.worry_both","f.worry_nr","a.worry_both","s.worry_gen","emp_u.stud","ed_hs","inc_nr","child_no","m_nev","so_straight","race_White","a.18-34"
"15","m.feel_med","m.app_med","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_phys","s.worry_nr","emp_u.nolook","ed_pgrad","inc_nr","child_yes","m_mar","so_straight","race_White","a.65+"
"16","m.feel_med","m.app_low","o_both","press_yes","r.lead_yes","h.worry_both","f.worry_both","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_mid","child_yes","m_mar","so_bi","race_White","a.35-64"
"17","m.feel_med","m.app_low","o_both","press_yes","r.lead_no","h.worry_phys","f.worry_personal","a.worry_nr","s.worry_perf","emp_ft","ed_ugrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"18","m.feel_high","m.app_med","o_family","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_pt","ed_ugrad","inc_mid","child_yes","m_wid","so_straight","race_White","a.65+"
"19","m.feel_med","m.app_med","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.look","ed_hs","inc_low","child_no","m_nev","so_straight","race_black","a.35-64"
"20","m.feel_low","m.app_med","o_both","press_no","r.lead_yes","h.worry_both","f.worry_nr","a.worry_phys","s.worry_perf","emp_u.ret","ed_p.ugrad","inc_low","child_no","m_div","so_straight","race_black","a.65+"
"21","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_phys","f.worry_both","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_nr","child_yes","m_mar","so_straight","race_White","a.35-64"
"22","m.feel_med","m.app_low","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_providing","a.worry_phys","s.worry_nr","emp_ft","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"23","m.feel_high","m.app_med","o_family","press_no","r.lead_no","h.worry_nr","f.worry_both","a.worry_nr","s.worry_nr","emp_ft","ed_ugrad","inc_low","child_yes","m_mar","so_straight","race_White","a.35-64"
"24","m.feel_high","m.app_low","o_family","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_no","m_mar","so_straight","race_White","a.65+"
"25","m.feel_med","m.app_low","o_both","press_yes","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"26","m.feel_low","m.app_med","o_both","press_yes","r.lead_yes","h.worry_both","f.worry_both","a.worry_phys","s.worry_both","emp_u.ret","ed_ugrad","inc_low","child_yes","m_mar","so_straight","race_White","a.65+"
"27","m.feel_no","m.app_no","o_both","press_yes","r.lead_no","h.worry_nr","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.nolook","ed_p.ugrad","inc_low","child_yes","m_wid","so_straight","race_White","a.65+"
"28","m.feel_high","m.app_med","o_society","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"29","m.feel_low","m.app_med","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_both","s.worry_both","emp_u.ret","ed_pgrad","inc_high","child_no","m_mar","so_straight","race_White","a.65+"
"30","m.feel_med","m.app_med","o_both","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_p.ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.35-64"
"31","m.feel_med","m.app_med","o_society","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_perf","emp_u.look","ed_hs","inc_low","child_no","m_nev","so_straight","race_other","a.18-34"
"32","m.feel_low","m.app_low","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.ret","ed_no.hs","inc_nr","child_yes","m_nev","so_straight","race_White","a.35-64"
"33","m.feel_med","m.app_med","o_society","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_mid","child_no","m_nev","so_straight","race_White","a.65+"
"34","m.feel_high","m.app_med","o_both","press_no","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_ft","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"35","m.feel_med","m.app_med","o_both","press_yes","r.lead_no","h.worry_phys","f.worry_personal","a.worry_phys","s.worry_perf","emp_ft","ed_hs","inc_low","child_yes","m_wid","so_straight","race_White","a.35-64"
